일자_dt,month_dt,연도,행정동,단속건수,total_registered
2021-11-01,2021-11,2021,답십리1동,21,9621
2021-11-02,2021-11,2021,답십리1동,24,9621
2021-11-03,2021-11,2021,답십리1동,10,9621
2021-11-04,2021-11,2021,답십리1동,11,9621
2021-11-05,2021-11,2021,답십리1동,10,9621
2021-11-06,2021-11,2021,답십리1동,8,9621
2021-11-07,2021-11,2021,답십리1동,3,9621
2021-11-08,2021-11,2021,답십리1동,15,9621
2021-11-09,2021-11,2021,답십리1동,14,9621
2021-11-10,2021-11,2021,답십리1동,17,9621
2021-11-11,2021-11,2021,답십리1동,9,9621
2021-11-12,2021-11,2021,답십리1동,20,9621
2021-11-13,2021-11,2021,답십리1동,7,9621
2021-11-14,2021-11,2021,답십리1동,2,9621
2021-11-15,2021-11,2021,답십리1동,13,9621
2021-11-16,2021-11,2021,답십리1동,13,9621
2021-11-17,2021-11,2021,답십리1동,15,9621
2021-11-18,2021-11,2021,답십리1동,15,9621
2021-11-19,2021-11,2021,답십리1동,25,9621
2021-11-20,2021-11,2021,답십리1동,10,9621
2021-11-21,2021-11,2021,답십리1동,6,9621
2021-11-22,2021-11,2021,답십리1동,10,9621
2021-11-23,2021-11,2021,답십리1동,7,9621
2021-11-24,2021-11,2021,답십리1동,13,9621
2021-11-25,2021-11,2021,답십리1동,17,9621
2021-11-26,2021-11,2021,답십리1동,12,9621
2021-11-27,2021-11,2021,답십리1동,3,9621
2021-11-28,2021-11,2021,답십리1동,8,9621
2021-11-29,2021-11,2021,답십리1동,15,9621
2021-11-30,2021-11,2021,답십리1동,9,9621
2021-11-01,2021-11,2021,답십리2동,2,8747
2021-11-02,2021-11,2021,답십리2동,5,8747
2021-11-03,2021-11,2021,답십리2동,5,8747
2021-11-04,2021-11,2021,답십리2동,3,8747
2021-11-05,2021-11,2021,답십리2동,2,8747
2021-11-06,2021-11,2021,답십리2동,1,8747
2021-11-07,2021-11,2021,답십리2동,2,8747
2021-11-08,2021-11,2021,답십리2동,2,8747
2021-11-09,2021-11,2021,답십리2동,2,8747
2021-11-10,2021-11,2021,답십리2동,1,8747
2021-11-11,2021-11,2021,답십리2동,1,8747
2021-11-12,2021-11,2021,답십리2동,2,8747
2021-11-13,2021-11,2021,답십리2동,1,8747
2021-11-14,2021-11,2021,답십리2동,2,8747
2021-11-15,2021-11,2021,답십리2동,2,8747
2021-11-16,2021-11,2021,답십리2동,1,8747
2021-11-17,2021-11,2021,답십리2동,1,8747
2021-11-18,2021-11,2021,답십리2동,3,8747
2021-11-19,2021-11,2021,답십리2동,1,8747
2021-11-20,2021-11,2021,답십리2동,2,8747
2021-11-22,2021-11,2021,답십리2동,4,8747
2021-11-23,2021-11,2021,답십리2동,4,8747
2021-11-24,2021-11,2021,답십리2동,4,8747
2021-11-25,2021-11,2021,답십리2동,1,8747
2021-11-26,2021-11,2021,답십리2동,2,8747
2021-11-27,2021-11,2021,답십리2동,1,8747
2021-11-28,2021-11,2021,답십리2동,1,8747
2021-11-29,2021-11,2021,답십리2동,2,8747
2021-11-30,2021-11,2021,답십리2동,4,8747
2021-11-01,2021-11,2021,이문1동,5,4138
2021-11-03,2021-11,2021,이문1동,4,4138
2021-11-04,2021-11,2021,이문1동,2,4138
2021-11-05,2021-11,2021,이문1동,4,4138
2021-11-06,2021-11,2021,이문1동,1,4138
2021-11-07,2021-11,2021,이문1동,2,4138
2021-11-08,2021-11,2021,이문1동,5,4138
