일자,행정동,신고건수,단속건수
20210929,답십리1동,0,17
20210929,답십리2동,0,5
20210929,이문1동,0,3
20210929,이문2동,0,1
20210929,장안1동,0,6
20210929,장안2동,0,15
20210929,전농1동,0,2
20210929,제기동,0,5
20210929,청량리동,0,12
20210929,회기동,0,20
20210929,휘경1동,0,4
20210929,휘경2동,0,2
20210930,답십리1동,0,19
20210930,답십리2동,0,2
20210930,이문1동,0,6
20210930,이문2동,0,1
20210930,장안1동,0,7
20210930,장안2동,0,32
20210930,전농1동,0,3
20210930,제기동,0,4
20210930,청량리동,0,18
20210930,회기동,0,15
20210930,휘경1동,0,1
20210930,휘경2동,0,2
20211001,답십리1동,0,21
20211001,답십리2동,0,4
20211001,이문1동,0,1
20211001,이문2동,0,1
20211001,장안1동,0,10
20211001,장안2동,0,38
20211001,전농1동,0,3
20211001,제기동,0,11
20211001,청량리동,0,15
20211001,회기동,0,10
20211001,휘경1동,0,1
20211001,휘경2동,0,3
20211002,답십리1동,0,5
20211002,이문1동,0,2
20211002,장안1동,0,3
20211002,장안2동,0,10
20211002,전농1동,0,2
20211002,전농2동,0,1
20211002,제기동,0,13
20211002,청량리동,0,9
20211002,회기동,0,11
20211002,휘경2동,0,2
20211003,답십리1동,0,6
20211003,이문1동,0,1
20211003,장안1동,0,5
20211003,장안2동,0,24
20211003,전농1동,0,3
20211003,제기동,0,5
20211003,청량리동,0,1
20211003,회기동,0,9
20211003,휘경1동,0,1
20211003,휘경2동,0,2
20211004,답십리1동,0,29
20211004,답십리2동,0,9
20211004,이문1동,0,6
20211004,장안1동,0,21
20211004,장안2동,0,47
20211004,전농1동,0,10
20211004,제기동,0,19
20211004,회기동,0,20
20211004,휘경1동,0,7
20211004,휘경2동,0,4
20211005,답십리1동,0,14
20211005,답십리2동,0,6
20211005,이문2동,0,2
20211005,장안1동,0,13
20211005,장안2동,0,28
20211005,전농1동,0,3
20211005,제기동,0,15
20211005,청량리동,0,15
20211005,회기동,0,8
20211005,휘경1동,0,7
20211005,휘경2동,0,5
20211006,답십리1동,0,16
20211006,답십리2동,0,2
20211006,이문1동,0,1
20211006,장안1동,0,11
20211006,장안2동,0,21
20211006,전농1동,0,3
20211006,제기동,0,14
20211006,청량리동,0,15
20211006,회기동,0,15
20211006,휘경1동,0,6
20211006,휘경2동,0,2
20211007,답십리1동,0,19
20211007,답십리2동,0,3
20211007,이문1동,0,3
20211007,장안1동,0,16
20211007,장안2동,0,27
20211007,전농1동,0,3
20211007,제기동,0,19
20211007,청량리동,0,19
20211007,회기동,0,25
20211007,휘경1동,0,4
20211007,휘경2동,0,1
20211008,답십리1동,0,27
20211008,답십리2동,0,2
20211008,이문1동,0,2
20211008,장안1동,0,7
20211008,장안2동,0,26
20211008,전농1동,0,6
20211008,제기동,0,17
20211008,청량리동,0,14
20211008,회기동,0,20
20211008,휘경1동,0,1
20211009,답십리1동,0,10
20211009,답십리2동,0,2
20211009,이문1동,0,4
20211009,이문2동,0,1
20211009,장안1동,0,7
20211009,장안2동,0,12
20211009,전농1동,0,1
20211009,제기동,0,15
20211009,청량리동,0,4
20211009,회기동,0,5
20211009,휘경2동,0,3
20211010,답십리1동,0,9
20211010,이문1동,0,1
20211010,장안1동,0,3
20211010,장안2동,0,8
20211010,전농1동,0,1
20211010,제기동,0,9
20211010,청량리동,0,1
20211010,회기동,0,6
20211010,휘경1동,0,1
20211010,휘경2동,0,1
20211011,답십리1동,0,5
20211011,답십리2동,0,3
20211011,장안1동,0,8
20211011,장안2동,0,8
20211011,제기동,0,50
20211011,청량리동,0,7
20211011,회기동,0,11
20211011,휘경2동,0,2
20211012,답십리1동,0,16
20211012,답십리2동,0,3
20211012,이문1동,0,1
20211012,이문2동,0,1
20211012,장안1동,0,13
20211012,장안2동,0,23
20211012,전농1동,0,4
20211012,제기동,0,13
20211012,청량리동,0,13
20211012,회기동,0,25
20211012,휘경1동,0,4
20211012,휘경2동,0,3
20211013,답십리1동,0,11
20211013,답십리2동,0,3
20211013,이문1동,0,4
20211013,이문2동,0,1
20211013,장안1동,0,11
20211013,장안2동,0,22
20211013,전농1동,0,4
20211013,제기동,0,18
20211013,청량리동,0,14
20211013,회기동,0,18
20211013,휘경1동,0,3
20211013,휘경2동,0,3
20211014,답십리1동,0,11
20211014,답십리2동,0,5
20211014,이문1동,0,4
20211014,이문2동,0,1
20211014,장안1동,0,15
20211014,장안2동,0,26
20211014,전농1동,0,2
20211014,제기동,0,48
20211014,청량리동,0,10
20211014,회기동,0,21
20211014,휘경1동,0,3
20211015,답십리1동,0,12
20211015,답십리2동,0,7
20211015,이문1동,0,2
20211015,장안1동,0,7
20211015,장안2동,0,18
20211015,전농1동,0,9
20211015,전농2동,0,1
20211015,제기동,0,17
20211015,청량리동,0,20
20211015,회기동,0,16
20211015,휘경1동,0,7
20211015,휘경2동,0,2
20211016,답십리1동,0,4
20211016,답십리2동,0,2
20211016,이문1동,0,1
20211016,장안1동,0,1
20211016,장안2동,0,10
20211016,제기동,0,21
20211016,청량리동,0,11
20211016,회기동,0,14
20211016,휘경1동,0,1
20211016,휘경2동,0,2
20211017,답십리1동,0,6
20211017,답십리2동,0,5
20211017,이문1동,0,2
20211017,이문2동,0,1
20211017,장안1동,0,2
20211017,장안2동,0,10
20211017,전농1동,0,2
20211017,제기동,0,4
20211017,회기동,0,5
20211017,휘경1동,0,2
20211017,휘경2동,0,2
20211018,답십리1동,0,10
20211018,답십리2동,0,6
20211018,이문1동,0,2
20211018,이문2동,0,1
20211018,장안1동,0,9
20211018,장안2동,0,24
20211018,전농1동,0,2
20211018,전농2동,0,1
20211018,제기동,0,10
20211018,청량리동,0,29
20211018,회기동,0,8
20211018,휘경2동,0,1
20211019,답십리1동,0,11
20211019,답십리2동,0,3
20211019,이문1동,0,3
20211019,장안1동,0,13
20211019,장안2동,0,24
20211019,전농1동,0,2
20211019,제기동,0,10
20211019,청량리동,0,18
20211019,회기동,0,15
20211019,휘경1동,0,8
20211019,휘경2동,0,1
20211020,답십리1동,0,20
20211020,답십리2동,0,2
20211020,이문1동,0,3
20211020,장안1동,0,15
20211020,장안2동,0,24
20211020,전농1동,0,7
20211020,제기동,0,7
20211020,청량리동,0,14
20211020,회기동,0,20
20211020,휘경1동,0,3
20211020,휘경2동,0,3
20211021,답십리1동,0,11
20211021,답십리2동,0,3
20211021,장안1동,0,7
20211021,장안2동,0,14
20211021,전농1동,0,2
20211021,전농2동,0,1
20211021,제기동,0,12
20211021,청량리동,0,24
20211021,회기동,0,16
20211021,휘경1동,0,6
20211021,휘경2동,0,2
20211022,답십리1동,0,20
20211022,답십리2동,0,4
20211022,이문1동,0,5
20211022,장안1동,0,10
20211022,장안2동,0,21
20211022,전농1동,0,4
20211022,제기동,0,16
20211022,청량리동,0,9
20211022,회기동,0,11
20211022,휘경2동,0,1
20211023,답십리1동,0,3
20211023,장안1동,0,5
20211023,장안2동,0,10
20211023,제기동,0,1
20211023,청량리동,0,4
20211023,회기동,0,16
20211023,휘경1동,0,1
20211023,휘경2동,0,2
20211024,답십리1동,0,5
20211024,답십리2동,0,2
20211024,이문1동,0,1
20211024,장안1동,0,4
20211024,장안2동,0,18
20211024,전농1동,0,3
20211024,제기동,0,3
20211024,청량리동,0,2
20211024,회기동,0,6
20211024,휘경2동,0,5
20211025,답십리1동,0,11
20211025,답십리2동,0,5
20211025,이문1동,0,4
20211025,장안1동,0,10
20211025,장안2동,0,23
20211025,전농1동,0,2
20211025,전농2동,0,1
20211025,제기동,0,3
20211025,청량리동,0,13
20211025,회기동,0,11
20211025,휘경1동,0,5
20211025,휘경2동,0,2
20211026,답십리1동,0,7
20211026,답십리2동,0,5
20211026,이문1동,0,4
20211026,장안1동,0,8
20211026,장안2동,0,27
20211026,전농1동,0,7
20211026,제기동,0,6
20211026,청량리동,0,20
20211026,회기동,0,14
20211026,휘경1동,0,7
20211026,휘경2동,0,1
20211027,답십리1동,0,14
20211027,답십리2동,0,4
20211027,이문1동,0,2
20211027,장안1동,0,17
20211027,장안2동,0,36
20211027,전농1동,0,1
20211027,제기동,0,6
20211027,청량리동,0,31
20211027,회기동,0,10
20211027,휘경1동,0,4
20211027,휘경2동,0,2
20211028,답십리1동,0,12
20211028,답십리2동,0,4
20211028,이문1동,0,5
20211028,이문2동,0,1
20211028,장안1동,0,13
20211028,장안2동,0,14
20211028,전농1동,0,1
20211028,제기동,1,9
20211028,청량리동,0,4
20211028,회기동,1,11
20211028,휘경1동,0,4
20211028,휘경2동,0,1
20211029,답십리1동,0,15
20211029,답십리2동,0,2
20211029,이문1동,0,5
20211029,이문2동,0,3
20211029,장안1동,0,10
20211029,장안2동,0,21
20211029,전농1동,0,4
20211029,전농2동,0,1
20211029,제기동,3,14
