민원접수일,민원접수시간,주소,경도,위도
20211028,18:19:00,동대문구 회기로 24 (지번) 제기동 1144-3 삼성정육점식당  앞 종암대교 상,127.039162384998,37.5910968304037
20211028,22:08:00,서울 동대문구 회기동 103-270,127.04911198163325,37.59053908982437
20211029,11:18:00,동대문구 경동시장로12길 43 (제기동 473-2),127.043088313228,37.5822539300743
20211029,11:18:00,동대문구 왕산로35길 64 (제기동 476),127.042870538401,37.5825363807151
20211029,15:46:00,동대문구 회기동 3-16,127.054428933437,37.5918702260504
20211029,21:09:00,동대문구 제기동 1158-77 용두치안센터 뒤편 흥아물산 주변,127.034107955567,37.5787725433887
20211030,09:43:00,동대문구 제기동 850 교차로 모퉁이 다원불고기  건너편 파란색 트럭(96구3876) 불법 주정차 단속요청 문의,127.041280280521,37.5816271243016
20211030,10:08:00,서울 동대문구 청량리동 819,127.044683662295,37.58148812315826
20211030,11:45:00,동대문구 제기동 892-2 (약령서길 50) 앞 도로,127.03629190554,37.5804916192214
20211030,12:42:00,서울 동대문구 청량리동 341,127.04532057569592,37.58630819407072
20211030,13:50:00,동대문구 경동시장로12길 43 (제기동 473-2 ),127.043088313228,37.5822539300743
20211030,15:46:00,동대문구. 정릉천동로 90( 제기동 892-66)과 정릉천동로 102) 사이길 현대아파트 쪽 주정차 6대 ,127.035616821712,37.5804808327149
20211030,16:36:00,동대문구 왕산로23가길 49 (제기동 167-39) ,127.032934030008,37.5819659987442
20211030,16:56:00,동대문구 경동시장로12길 43 (제기동 473-2 )앞 골목길,127.043088313228,37.5822539300743
20211030,21:28:00,서울 동대문구 제기동 891-2,127.0352992127301,37.580371817776296
20211030,23:03:00,홍릉로22길 6(청량리동 199-123),127.043423836235,37.5872474712534
20211030,23:16:00,동대문구 청량리동 199-123 옆,127.043351469959,37.587216864101
20211031,09:07:00,서울 동대문구 제기동 1212-2,127.039606247581,37.5906912358258
20211031,11:57:00,동대문구 제기동 473-2(경동시장로12길 43) 앞,127.043096593476,37.5822810469551
20211031,14:14:00,동대문구 제기동 137-258 집 경계석과 도로사이,127.036298511379,37.5882678189577
20211031,19:57:00, 청량리동 279 ,127.045162480054,37.580900042593
20211031,21:24:00, 청량리동 268  ,127.045592676254,37.5808854613229
20211101,03:43:00,동대문구 제기동 892-2 (약령서길 50) 주차장 앞 도로,127.03629190554,37.5804916192214
20211101,10:36:00,동대문구 제기동 850 앞 ,127.041280280521,37.5816271243016
20211101,12:49:00,서울 동대문구 회기동 61-24,127.05429197937195,37.590383652190496
20211101,16:09:00,동대문구 왕산로 283(지번) 청량리동 38-29 혼다모터사이클 강북 매장,127.051230258658,37.5859666434238
20211103,08:30:00,제기동역 4번 출구. 굿안경 매장 (동대문구 왕산로 104) 옆,127.035080031246,37.5779484796182
20211103,14:56:00,서울 동대문구 제기동 55-11,127.03496063914994,37.5826379174763
20211103,18:37:00,동대문구 약령시로 159 (청량리동 235-5 ) ,127.047816079107,37.5832421212008
20211104,18:23:00,회기로13길 6 (회기동60-59) 주변 ,127.051067302674,37.5917184695937
20211105,08:46:00,서울 동대문구 제기동 1212-2,127.03954166610194,37.59082537017112
20211105,10:12:00,동대문구 경동시장로12길 41-7 (제기동 476-2) 다원불고기 건너편 도로 ,127.042916272849,37.582529156149
20211105,19:44:00,(무학로 124) 용두동 동부병원에서 제기동역 방향으로 우회전하는 안전지대쪽으로,127.031512678311,37.5753539913466
20211106,09:32:00,동대문구 왕산로 147(제기동 1015)옆 이면도로,127.03965869498,37.5787842338973
20211106,12:17:00,서울특별시 동대문구 청량리동 279,127.045164290464,37.5808984201058
20211106,12:32:00,ID : 06-167 경동시장앞 정류장에서 동대문구 제기동 제기사거리의 중간지점 일대의 주정차 강력 단속 요청,127.03870036152,37.5804913046928
20211106,13:03:00,서울 동대문구 제기동 891-2,127.03538421909234,37.58057902089366
20211106,14:09:00,서울 동대문구 청량리동 819,127.04461813246914,37.5831347135013
20211106,15:29:00,회기로21길 30(회기동23-2),127.053244127791,37.5928478921626
20211107,09:45:00,동대문구 홍릉로 115-1 (지번)서울 동대문구 청량리동 205-590 앞 ,127.042178933348,37.5906004255074
20211107,16:11:00,청량리역 교차로~ 동대문구 홍릉로 34-1(청량리동 318-6) 앞 동대문경찰서 교차로까지 ,127.044823230342,37.582299054513
20211107,18:34:00,안암로 98 (제기동 146-41) 주차장앞 ,127.031408577971,37.5843590924787
20211108,07:21:00,동대문구 왕산로 147(제기동 1015) 가장자리 ,127.03965869498,37.5787842338973
20211108,07:26:00,동대문구 왕산로 147(제기동 1015) 가장자리 ,127.03965869498,37.5787842338973
20211108,11:57:00,서울 동대문구 무학로42길 41 (지번:제기동 148-70) 앞은 보행자 통로이며 스쿨존입니다.,127.030225642533,37.5820123135827
20211108,14:25:00,동대문구 제기동 958-3,127.037718094409,37.5817459860244
20211108,14:31:00,동대문구 왕산로43길 10(청량리동 50-27번지) 우진식당 앞,127.04862701447,37.5835492989337
20211109,07:55:00,동대문구 장한로 143(장안2동 306-4) 코리아병원 앞 버스정류장 앞 도로 상 ,127.071518871889,37.5731976621686
20211109,08:56:00,무학로44길53(제기동 171-5번지),127.032934275999,37.5814964008189
20211109,12:38:00,동대문구 왕산로22길 16 (용두동 104-34)가우디캐슬 앞부터 제기동역까지 ,127.03311775262,37.5773136653151
20211109,18:59:00,동대문구 제기동 483-1 (왕산로35길 52) 막다른 골목,127.042971116403,37.582021426374
20211110,08:08:00,이문로30길 24  더좋은새마을금고 이문1동지점 은행 부터 =&gt;배스킨라빈스 외대점 (휘경로 21)까지,127.061504137541,37.5962844934015
20211110,12:12:00,동대문구제기동483-1,127.042984590265,37.5820239442502
20211110,14:44:00,동대문구 경희대로3길 5(회기동 42-81),127.052110510665,37.5925822451004
20211110,15:05:00,서울 동대문구 제기동 1142-16,127.04018168861312,37.59136574930757
20211110,15:41:00,서울 동대문구 회기동 65,127.05272331043406,37.58969510422695
20211111,08:11:00,제기동역 4번 출구. 동대문구 왕산로 104 &gt; 굿안경 매장 옆으로 화물차 9163 불법주정차 단속 요청합니다. ,127.035080031246,37.5779484796182
20211111,15:26:00,동대문구 장안동 581 일성트루엘아파트 코너(장안1동경로당 인근),127.065377531925,37.5652943577914
20211111,16:21:00,"제기동역 용두치안센터에서 성일중학교 사이길, 동대문구 왕산로 23길 35   대신택배앞 ",127.033997269967,37.5783459546265
20211112,12:07:00,동대문구 홍릉로 19 (청량리동 710) 앞 도로,127.044319385424,37.582036064559
20211112,14:55:00,동대문구 제기동 364,127.041147697583,37.5846934311433
20211112,15:34:00,동대문구 제기동 364 앞,127.041147697583,37.5846934311433
20211112,15:45:00,동대문구 왕산로23길 35(제기동 1158-58번지) 대신택배 앞,127.034151379007,37.5799052604262
20211112,18:01:00,경동시장로12길 43(제기동 473-2) 앞 주택가 교차로,127.043088313228,37.5822539300743
20211113,11:34:00,서울 동대문구 회기동 57-2,127.05532846586564,37.59101386539128
20211113,11:39:00,서울 동대문구 청량리동 235-14,127.04760121730816,37.582919562332414
20211113,13:58:00,서울 동대문구 제기동 55-11,127.03483015076284,37.582011765575245
20211113,14:18:00,동대문구 고산자로 476(제기동 900-1)제기동 우체국앞 정류소,127.03889333663,37.5821360952478
