행정동명,month,total_registered,시군구
서울특별시 강남구 개포1동,2021-11,3631,강남구
서울특별시 강남구 개포1동,2021-12,3681,강남구
서울특별시 강남구 개포1동,2022-01,3697,강남구
서울특별시 강남구 개포1동,2022-02,3717,강남구
서울특별시 강남구 개포1동,2022-03,3735,강남구
서울특별시 강남구 개포1동,2022-04,3774,강남구
서울특별시 강남구 개포1동,2022-05,3816,강남구
서울특별시 강남구 개포1동,2022-06,3832,강남구
서울특별시 강남구 개포1동,2022-07,3850,강남구
서울특별시 강남구 개포1동,2022-08,3871,강남구
서울특별시 강남구 개포1동,2022-09,3895,강남구
서울특별시 강남구 개포1동,2022-10,3910,강남구
서울특별시 강남구 개포1동,2022-11,3937,강남구
서울특별시 강남구 개포1동,2022-12,3964,강남구
서울특별시 강남구 개포1동,2023-01,3997,강남구
서울특별시 강남구 개포1동,2023-02,4023,강남구
서울특별시 강남구 개포1동,2023-03,4067,강남구
서울특별시 강남구 개포1동,2023-04,4105,강남구
서울특별시 강남구 개포1동,2023-05,4142,강남구
서울특별시 강남구 개포1동,2023-06,4199,강남구
서울특별시 강남구 개포1동,2023-07,4226,강남구
서울특별시 강남구 개포1동,2023-08,4252,강남구
서울특별시 강남구 개포1동,2023-09,4280,강남구
서울특별시 강남구 개포1동,2023-10,4305,강남구
서울특별시 강남구 개포1동,2023-11,4337,강남구
서울특별시 강남구 개포1동,2023-12,4372,강남구
서울특별시 강남구 개포2동,2021-11,10072,강남구
서울특별시 강남구 개포2동,2021-12,10172,강남구
서울특별시 강남구 개포2동,2022-01,10224,강남구
서울특별시 강남구 개포2동,2022-02,10271,강남구
서울특별시 강남구 개포2동,2022-03,10329,강남구
서울특별시 강남구 개포2동,2022-04,10373,강남구
서울특별시 강남구 개포2동,2022-05,10432,강남구
서울특별시 강남구 개포2동,2022-06,10471,강남구
서울특별시 강남구 개포2동,2022-07,10519,강남구
서울특별시 강남구 개포2동,2022-08,10567,강남구
서울특별시 강남구 개포2동,2022-09,10622,강남구
서울특별시 강남구 개포2동,2022-10,10685,강남구
서울특별시 강남구 개포2동,2022-11,10735,강남구
서울특별시 강남구 개포2동,2022-12,10802,강남구
서울특별시 강남구 개포2동,2023-01,10855,강남구
서울특별시 강남구 개포2동,2023-02,10921,강남구
서울특별시 강남구 개포2동,2023-03,11026,강남구
서울특별시 강남구 개포2동,2023-04,11116,강남구
서울특별시 강남구 개포2동,2023-05,11204,강남구
서울특별시 강남구 개포2동,2023-06,11326,강남구
서울특별시 강남구 개포2동,2023-07,11405,강남구
서울특별시 강남구 개포2동,2023-08,11515,강남구
서울특별시 강남구 개포2동,2023-09,11621,강남구
서울특별시 강남구 개포2동,2023-10,11704,강남구
서울특별시 강남구 개포2동,2023-11,11799,강남구
서울특별시 강남구 개포2동,2023-12,11892,강남구
서울특별시 강남구 개포4동,2021-11,8661,강남구
서울특별시 강남구 개포4동,2021-12,8729,강남구
서울특별시 강남구 개포4동,2022-01,8766,강남구
서울특별시 강남구 개포4동,2022-02,8798,강남구
서울특별시 강남구 개포4동,2022-03,8842,강남구
서울특별시 강남구 개포4동,2022-04,8878,강남구
서울특별시 강남구 개포4동,2022-05,8916,강남구
서울특별시 강남구 개포4동,2022-06,8946,강남구
서울특별시 강남구 개포4동,2022-07,8978,강남구
서울특별시 강남구 개포4동,2022-08,9014,강남구
서울특별시 강남구 개포4동,2022-09,9056,강남구
서울특별시 강남구 개포4동,2022-10,9090,강남구
서울특별시 강남구 개포4동,2022-11,9136,강남구
서울특별시 강남구 개포4동,2022-12,9177,강남구
서울특별시 강남구 개포4동,2023-01,9225,강남구
서울특별시 강남구 개포4동,2023-02,9257,강남구
서울특별시 강남구 개포4동,2023-03,9310,강남구
서울특별시 강남구 개포4동,2023-04,9362,강남구
서울특별시 강남구 개포4동,2023-05,9402,강남구
서울특별시 강남구 개포4동,2023-06,9469,강남구
서울특별시 강남구 개포4동,2023-07,9508,강남구
서울특별시 강남구 개포4동,2023-08,9550,강남구
서울특별시 강남구 개포4동,2023-09,9591,강남구
서울특별시 강남구 개포4동,2023-10,9635,강남구
서울특별시 강남구 개포4동,2023-11,9671,강남구
서울특별시 강남구 개포4동,2023-12,9728,강남구
서울특별시 강남구 논현1동,2021-11,10661,강남구
서울특별시 강남구 논현1동,2021-12,10763,강남구
서울특별시 강남구 논현1동,2022-01,10817,강남구
서울특별시 강남구 논현1동,2022-02,10865,강남구
서울특별시 강남구 논현1동,2022-03,10921,강남구
서울특별시 강남구 논현1동,2022-04,10964,강남구
서울특별시 강남구 논현1동,2022-05,11035,강남구
서울특별시 강남구 논현1동,2022-06,11088,강남구
서울특별시 강남구 논현1동,2022-07,11144,강남구
서울특별시 강남구 논현1동,2022-08,11197,강남구
서울특별시 강남구 논현1동,2022-09,11263,강남구
서울특별시 강남구 논현1동,2022-10,11328,강남구
서울특별시 강남구 논현1동,2022-11,11402,강남구
서울특별시 강남구 논현1동,2022-12,11486,강남구
서울특별시 강남구 논현1동,2023-01,11534,강남구
서울특별시 강남구 논현1동,2023-02,11578,강남구
서울특별시 강남구 논현1동,2023-03,11624,강남구
서울특별시 강남구 논현1동,2023-04,11676,강남구
서울특별시 강남구 논현1동,2023-05,11745,강남구
서울특별시 강남구 논현1동,2023-06,11822,강남구
서울특별시 강남구 논현1동,2023-07,11878,강남구
서울특별시 강남구 논현1동,2023-08,11925,강남구
서울특별시 강남구 논현1동,2023-09,12008,강남구
서울특별시 강남구 논현1동,2023-10,12083,강남구
서울특별시 강남구 논현1동,2023-11,12138,강남구
서울특별시 강남구 논현1동,2023-12,12191,강남구
서울특별시 강남구 논현2동,2021-11,10403,강남구
서울특별시 강남구 논현2동,2021-12,10497,강남구
